"kingdom";"phylum";"class";"order";"family";"genus";"species";"speciesStatus";"allBarcodes";"ariseBarcodes";"otherBarcodes";"speciesOccurrenceStatus";"collected";"speciesLocality"
"Animalia";"Arthropoda";"Arachnida";"Araneae";"Agelenidae";"Inermocoelotes";"Inermocoelotes inermis";"Wanted";"19";"0";"19";"1a";"0";"Germany; Slovenia; Unrecoverable"
"Animalia";"Arthropoda";"Arachnida";"Araneae";"Agelenidae";"Textrix";"Textrix denticulata";"Unwanted";"18";"2";"16";"1a";"0";"Bulgaria; Germany; Netherlands; Norway; Switzerland; Turkiye; United Kingdom; Unknown; Unrecoverable"
"Animalia";"Arthropoda";"Arachnida";"Araneae";"Agelenidae";"Tegenaria";"Tegenaria saeva";"Wanted";"0";"0";"0";"3a";"0";""
"Animalia";"Arthropoda";"Arachnida";"Araneae";"Agelenidae";"Tegenaria";"Tegenaria parietina";"Wanted";"7";"0";"7";"1a";"0";"Bulgaria; Germany; Greece; Italy; Unrecoverable"
"Animalia";"Arthropoda";"Arachnida";"Araneae";"Agelenidae";"Tegenaria";"Tegenaria domestica";"Wanted";"50";"0";"50";"2b";"0";"Albania; Bulgaria; Canada; China; Finland; Germany; New Zealand; Norway; Pakistan; Poland; Portugal; Russia; Switzerland; Turkiye; United State of America; Unrecoverable"
"Animalia";"Arthropoda";"Arachnida";"Araneae";"Agelenidae";"Eratigena";"Eratigena picta";"Unwanted";"3";"1";"2";"1a";"0";"Netherlands; Spain"
"Animalia";"Arthropoda";"Arachnida";"Araneae";"Agelenidae";"Eratigena";"Eratigena atrica";"Unwanted";"70";"8";"62";"1a";"0";"Belgium; Canada; France; Germany; Netherlands; Norway; Poland; Portugal; Slovenia; Spain; Sweden; Switzerland; United Kingdom; Unknown"
"Animalia";"Arthropoda";"Arachnida";"Araneae";"Agelenidae";"Eratigena";"Eratigena agrestis";"Wanted";"44";"0";"44";"1a";"0";"Armenia; Austria; Bulgaria; Canada; Czechia; Germany; Kosovo; United Kingdom; United State of America; Unrecoverable"
"Animalia";"Arthropoda";"Arachnida";"Araneae";"Agelenidae";"Histopona";"Histopona torpida";"Wanted";"34";"0";"34";"1a";"0";"Bulgaria; Germany; Slovenia; Switzerland; Unrecoverable"
"Animalia";"Arthropoda";"Arachnida";"Araneae";"Agelenidae";"Agelena";"Agelena labyrinthica";"Unwanted";"44";"5";"39";"1a";"0";"Austria; Bulgaria; China; Germany; Italy; Netherlands; Poland; Russia; Spain; Switzerland; Ukraine; United Kingdom; Unrecoverable"
"Animalia";"Arthropoda";"Arachnida";"Araneae";"Agelenidae";"Allagelena";"Allagelena gracilens";"Wanted";"36";"0";"36";"1a";"0";"Austria; Bulgaria; Germany; Japan; Poland; Russia; Slovakia; Slovenia; Unrecoverable"
"Animalia";"Arthropoda";"Arachnida";"Araneae";"Agelenidae";"Coelotes";"Coelotes terrestris";"Unwanted";"47";"3";"44";"1a";"0";"Austria; Belgium; France; Germany; Netherlands; Slovenia; Unknown; Unrecoverable"
"Animalia";"Arthropoda";"Arachnida";"Araneae";"Amaurobiidae";"Callobius";"Callobius claustrarius";"Wanted";"3";"0";"3";"3a";"0";"Germany"
"Animalia";"Arthropoda";"Arachnida";"Araneae";"Amaurobiidae";"Amaurobius";"Amaurobius similis";"Unwanted";"22";"2";"20";"1a";"1";"Denmark; France; Germany; Netherlands; United Kingdom; Unknown; Unrecoverable"
"Animalia";"Arthropoda";"Arachnida";"Araneae";"Amaurobiidae";"Amaurobius";"Amaurobius ferox";"Unwanted";"35";"4";"31";"1a";"0";"Austria; Belgium; Bulgaria; Canada; Germany; Netherlands; Slovakia; Slovenia; Switzerland; United Kingdom; United State of America"
"Animalia";"Arthropoda";"Arachnida";"Araneae";"Amaurobiidae";"Amaurobius";"Amaurobius fenestralis";"Unwanted";"36";"1";"35";"1a";"0";"Aland; Armenia; Bulgaria; Finland; Germany; Netherlands; Sweden; Switzerland; United Kingdom; Unrecoverable"
"Animalia";"Arthropoda";"Arachnida";"Araneae";"Macrothelidae";"Macrothele";"Macrothele calpeiana";"Wanted";"22";"0";"22";"2d";"0";"Italy; Spain; Unrecoverable"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Tarsonemidae";"Hemitarsonemus";"Hemitarsonemus ganeo";"Wanted";"0";"0";"0";"2d";"0";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Tarsonemidae";"Pseudotarsonemoides";"Pseudotarsonemoides innumerabilis";"Priority";"0";"0";"0";"1a";"0";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Tarsonemidae";"Acarapis";"Acarapis woodi";"Wanted";"3";"0";"3";"1a";"0";"Iran; Japan"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Tarsonemidae";"Tarsonemus";"Tarsonemus rakoviensis";"Priority";"0";"0";"0";"1a";"0";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Tarsonemidae";"Tarsonemus";"Tarsonemus nodosus";"Priority";"0";"0";"0";"1a";"0";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Tarsonemidae";"Tarsonemus";"Tarsonemus minusculus";"Priority";"0";"0";"0";"1a";"0";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Tarsonemidae";"Tarsonemus";"Tarsonemus hermes";"Priority";"0";"0";"0";"1a";"0";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Tarsonemidae";"Tarsonemus";"Tarsonemus floricolus";"Priority";"0";"0";"0";"1a";"0";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Tarsonemidae";"Tarsonemus";"Tarsonemus confusus";"Priority";"0";"0";"0";"1a";"0";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Tarsonemidae";"Tarsonemus";"Tarsonemus aurantii";"Priority";"0";"0";"0";"1a";"0";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Tarsonemidae";"Steneotarsonemus";"Steneotarsonemus spirifex";"Priority";"0";"0";"0";"1a";"0";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Tarsonemidae";"Steneotarsonemus";"Steneotarsonemus phragmitidis";"Unwanted";"1";"0";"1";"1a";"7";"Russia"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Tarsonemidae";"Steneotarsonemus";"Steneotarsonemus laticeps";"Priority";"0";"0";"0";"1a";"0";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Sperchontidae";"Sperchon";"Sperchon vaginosus";"Unwanted";"6";"6";"0";"1a";"0";"Netherlands"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Sperchontidae";"Sperchon";"Sperchon insignis";"Unwanted";"15";"9";"6";"1a";"0";"Canada; Greenland; Netherlands; United State of America"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Sperchontidae";"Sperchon";"Sperchon thienemanni";"Unwanted";"26";"12";"14";"1a";"0";"Austria; France; Montenegro; Netherlands; United State of America"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Sperchontidae";"Sperchon";"Sperchon turgidus";"Unwanted";"5";"5";"0";"1a";"0";"Netherlands"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Sperchontidae";"Sperchon";"Sperchon squamosus";"Unwanted";"13";"6";"7";"1a";"1";"Montenegro; Netherlands; North Macedonia; Norway; United Kingdom"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Sperchontidae";"Sperchon";"Sperchon setiger";"Unwanted";"13";"5";"8";"1a";"0";"Greece; Iran; Italy; Montenegro; Netherlands; Norway; Russia; Turkiye"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Sperchontidae";"Sperchon";"Sperchon longissimus";"Priority";"0";"0";"0";"1a";"0";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Sperchontidae";"Sperchon";"Sperchon longirostris";"Wanted";"5";"0";"5";"1a";"0";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Sperchontidae";"Sperchon";"Sperchon glandulosus";"Unwanted";"37";"2";"35";"1a";"2";"Austria; Belgium; Bosnia and Herzegovina; Canada; Norway; Romania; Turkiye; United State of America"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Sperchontidae";"Sperchon";"Sperchon compactilis";"Unwanted";"15";"5";"10";"1a";"0";"Iran; Netherlands; Portugal; Turkiye"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Sperchontidae";"Sperchon";"Sperchon clupeifer";"Unwanted";"26";"7";"19";"1a";"0";"Austria; France; Montenegro; Netherlands; North Macedonia; Norway; Portugal; Russia; Serbia; Turkiye; Unrecoverable"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Sperchontidae";"Sperchon";"Sperchon hispidus";"Unwanted";"5";"0";"5";"1a";"3";"Kazakhstan; Montenegro; Portugal; Russia"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Sperchontidae";"Sperchonopsis";"Sperchonopsis verrucosa";"Unwanted";"52";"4";"48";"1a";"0";"Belgium; Croatia; Germany; Italy; Montenegro; Netherlands; North Macedonia; Norway; Portugal; Romania; Russia"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Hydryphantidae";"Parathyas";"Parathyas colligera";"Unwanted";"3";"1";"2";"1a";"0";"Netherlands; Russia; Sweden"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Hydryphantidae";"Parathyas";"Parathyas palustris";"Unwanted";"18";"4";"14";"1a";"0";"Austria; Netherlands; Norway; Romania; Sweden"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Hydryphantidae";"Parathyas";"Parathyas pachystoma";"Unwanted";"15";"10";"5";"1a";"0";"Netherlands; Norway; Russia"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Hydryphantidae";"Parathyas";"Parathyas dirempta";"Unwanted";"9";"7";"2";"1a";"0";"Netherlands; Norway; Russia"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Hydryphantidae";"Parathyas";"Parathyas barbigera";"Unwanted";"7";"2";"5";"1a";"0";"Georgia; Germany; Netherlands; Norway; Romania; Sweden"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Hydryphantidae";"Parathyas";"Parathyas thoracata";"Unwanted";"11";"9";"2";"1a";"2";"Netherlands; Norway"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Hydryphantidae";"Hydryphantes";"Hydryphantes abnormis";"Wanted";"0";"0";"0";"0";"0";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Hydryphantidae";"Hydryphantes";"Hydryphantes flexuosus";"Unwanted";"3";"3";"0";"1a";"0";"Netherlands"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Hydryphantidae";"Hydryphantes";"Hydryphantes ruber";"Unwanted";"34";"16";"18";"1a";"2";"Belarus; Germany; Netherlands; Norway; Poland; Russia"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Hydryphantidae";"Hydryphantes";"Hydryphantes planus";"Unwanted";"1";"1";"0";"1a";"3";"Netherlands"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Hydryphantidae";"Hydryphantes";"Hydryphantes placationis";"Priority";"0";"0";"0";"1a";"0";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Hydryphantidae";"Hydryphantes";"Hydryphantes parmulatus";"Unwanted";"3";"3";"0";"1a";"0";"Netherlands"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Hydryphantidae";"Hydryphantes";"Hydryphantes octoporus";"Unwanted";"4";"4";"0";"1a";"2";"Netherlands"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Hydryphantidae";"Hydryphantes";"Hydryphantes dispar";"Unwanted";"11";"9";"2";"1a";"1";"Netherlands; Norway; Russia"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Hydryphantidae";"Hydryphantes";"Hydryphantes crassipalpis";"Unwanted";"4";"4";"0";"1a";"0";"Netherlands"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Hydryphantidae";"Hydryphantes";"Hydryphantes tenuipalpis";"Unwanted";"13";"9";"4";"1a";"0";"Netherlands; Poland; Russia"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Hydryphantidae";"Panisus";"Panisus michaeli";"Wanted";"14";"0";"14";"1a";"0";"Montenegro; Norway; Russia"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Hydryphantidae";"Panisus";"Panisus torrenticolus";"Wanted";"2";"1";"1";"1a";"0";"Italy"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Hydryphantidae";"Zschokkea";"Zschokkea oblonga";"Wanted";"2";"0";"2";"1a";"0";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Hydryphantidae";"Vietsia";"Vietsia scutata";"Wanted";"1";"1";"0";"1a";"1";"Netherlands"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Hydryphantidae";"Thyopsis";"Thyopsis cancellata";"Wanted";"3";"0";"3";"1a";"0";"Canada"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Hydryphantidae";"Tartarothyas";"Tartarothyas romanica";"Wanted";"1";"1";"0";"1a";"0";"Netherlands"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Hydryphantidae";"Protzia";"Protzia invalvaris";"Unwanted";"13";"2";"11";"1a";"3";"Austria; Belgium; Montenegro; Serbia"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Hydryphantidae";"Protzia";"Protzia eximia";"Unwanted";"11";"6";"5";"1a";"0";"Austria; Germany; Netherlands"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Hydryphantidae";"Panisopsis";"Panisopsis vigilans";"Priority";"0";"0";"0";"1a";"0";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Hydryphantidae";"Euthyas";"Euthyas truncata";"Unwanted";"6";"3";"3";"1a";"0";"Netherlands; Norway; Russia"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Hydryphantidae";"Diplodontus";"Diplodontus scapularis";"Unwanted";"6";"3";"3";"1a";"0";"Morocco; Netherlands"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Hydryphantidae";"Panisellus";"Panisellus thienemanni";"Unwanted";"4";"2";"2";"1a";"1";"Netherlands"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Lebertiidae";"Lebertia";"Lebertia holsatica";"Unwanted";"8";"1";"7";"1a";"0";"Austria; Netherlands; Norway"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Lebertiidae";"Lebertia";"Lebertia cognata";"Wanted";"2";"2";"0";"1a";"0";"Netherlands"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Lebertiidae";"Lebertia";"Lebertia glabra";"Unwanted";"36";"9";"27";"1a";"0";"Austria; Bosnia and Herzegovina; Bulgaria; Germany; Montenegro; Netherlands; North Macedonia; Norway; Romania; Serbia; Turkiye"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Lebertiidae";"Lebertia";"Lebertia brigantina";"Unwanted";"6";"1";"5";"1a";"0";"Netherlands; Norway; Portugal"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Lebertiidae";"Lebertia";"Lebertia stigmatifera";"Unwanted";"20";"3";"17";"1a";"0";"Austria; Croatia; Netherlands; Norway; Serbia; Sweden"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Lebertiidae";"Lebertia";"Lebertia sefvei";"Unwanted";"10";"1";"9";"1a";"0";"Germany; Netherlands; Norway"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Lebertiidae";"Lebertia";"Lebertia salebrosa";"Unwanted";"11";"5";"6";"1a";"0";"Netherlands; United State of America"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Lebertiidae";"Lebertia";"Lebertia rivulorum";"Unwanted";"15";"6";"9";"1a";"0";"Germany; Netherlands; North Macedonia; Turkiye"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Lebertiidae";"Lebertia";"Lebertia pusilla";"Unwanted";"13";"6";"7";"1a";"0";"Austria; Netherlands; Norway; Portugal"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Lebertiidae";"Lebertia";"Lebertia porosa";"Unwanted";"248";"13";"235";"1a";"2";"Belgium; Bosnia and Herzegovina; Canada; France; Germany; Montenegro; Netherlands; North Macedonia; Norway; Portugal; Romania; Russia; Serbia; Turkiye; United Kingdom; United State of America"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Lebertiidae";"Lebertia";"Lebertia minutipalpis";"Unwanted";"6";"3";"3";"1a";"0";"Netherlands"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Lebertiidae";"Lebertia";"Lebertia insignis";"Unwanted";"23";"7";"16";"1a";"1";"Montenegro; Netherlands; Norway; Portugal; Russia"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Lebertiidae";"Lebertia";"Lebertia inaequalis";"Unwanted";"142";"7";"135";"1a";"1";"Canada; Georgia; Germany; Greece; Netherlands; North Macedonia; Norway; Russia"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Lebertiidae";"Lebertia";"Lebertia fimbriata";"Unwanted";"70";"16";"54";"1a";"2";"Belgium; Cyprus; France; Germany; Greece; Italy; Montenegro; Netherlands; North Macedonia; Norway; Portugal; Russia"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Lebertiidae";"Lebertia";"Lebertia dubia";"Unwanted";"3";"3";"0";"1a";"0";"Netherlands"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Lebertiidae";"Lebertia";"Lebertia bracteata";"Priority";"0";"0";"0";"1a";"0";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Lebertiidae";"Lebertia";"Lebertia natans";"Unwanted";"4";"1";"3";"0a";"0";"Montenegro; Netherlands"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Lebertiidae";"Lebertia";"Lebertia sparsicapillata";"Unwanted";"15";"4";"11";"0a";"6";"Belgium; Germany; Montenegro; Portugal"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Lebertiidae";"Lebertia";"Lebertia oblonga";"Wanted";"1";"0";"1";"1a";"0";"Russia"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Lebertiidae";"Lebertia";"Lebertia longiseta";"Unwanted";"7";"7";"0";"1a";"0";"Netherlands"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Harpirhynchidae";"Harpypalpoides";"Harpypalpoides johnstoni";"Priority";"0";"0";"0";"1a";"0";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Harpirhynchidae";"Harpypalpoides";"Harpypalpoides hirundinoides";"Priority";"0";"0";"0";"1a";"0";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Harpirhynchidae";"Harpypalpoides";"Harpypalpoides regulus";"Priority";"0";"0";"0";"1a";"0";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Harpirhynchidae";"Harpypalpoides";"Harpypalpoides sylvia";"Priority";"0";"0";"0";"1a";"0";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Harpirhynchidae";"Harpypalpoides";"Harpypalpoides lukoschusi";"Priority";"0";"0";"0";"1a";"0";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Harpirhynchidae";"Harpyrhynchoides";"Harpyrhynchoides herodius";"Priority";"0";"0";"0";"1a";"0";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Harpirhynchidae";"Harpyrhynchoides";"Harpyrhynchoides columbae";"Priority";"0";"0";"0";"1a";"0";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Harpirhynchidae";"Harpyrhynchiella";"Harpyrhynchiella reductus";"Priority";"0";"0";"0";"1a";"0";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Harpirhynchidae";"Harpypalpus";"Harpypalpus sturnus";"Priority";"0";"0";"0";"1a";"0";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Harpirhynchidae";"Harpypalpus";"Harpypalpus pyrrhula";"Priority";"0";"0";"0";"1a";"0";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Harpirhynchidae";"Anharpyrhynchus";"Anharpyrhynchus monstrosus";"Wanted";"0";"0";"0";"1a";"1";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus brunsvicensis";"Wanted";"0";"0";"0";"4";"0";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus truncatellus";"Unwanted";"11";"7";"4";"1a";"0";"Netherlands; Norway"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus distans";"Unwanted";"0";"0";"0";"1a";"6";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus nielseni";"Priority";"0";"0";"0";"1a";"0";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus membranator";"Wanted";"3";"0";"3";"1a";"0";"Norway"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus denticulatus";"Unwanted";"4";"4";"0";"1a";"11";"Netherlands"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus berolinensis";"Unwanted";"6";"6";"0";"1a";"0";"Netherlands"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus zachariasi";"Unwanted";"11";"4";"7";"1a";"0";"Netherlands; Norway; Portugal; Romania"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus virens";"Unwanted";"5";"4";"1";"1a";"0";"Netherlands; Serbia"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus tubulator";"Unwanted";"8";"8";"0";"1a";"0";"Netherlands"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus tricuspidator";"Unwanted";"12";"5";"7";"1a";"0";"Germany; Netherlands; Norway; Portugal"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus stecki";"Unwanted";"17";"8";"9";"1a";"0";"Netherlands; Norway; Poland"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus spatiosus";"Priority";"0";"0";"0";"1a";"0";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus sinuator";"Unwanted";"16";"12";"4";"1a";"0";"Germany; Netherlands"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus securiformis";"Unwanted";"12";"6";"6";"1a";"0";"Germany; Netherlands; Norway"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus sculptus";"Unwanted";"0";"0";"0";"1a";"6";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus robustus";"Unwanted";"6";"3";"3";"1a";"0";"Germany; Netherlands; Portugal"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus radiatus";"Unwanted";"10";"10";"0";"1a";"0";"Netherlands"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus perforatus";"Unwanted";"7";"5";"2";"1a";"0";"Germany; Netherlands"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus papillator";"Wanted";"1";"0";"1";"1a";"0";"Russia"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus ornatus";"Unwanted";"3";"3";"0";"1a";"0";"Netherlands"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus octagonus";"Wanted";"0";"0";"0";"1a";"1";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus novus";"Unwanted";"10";"4";"6";"1a";"0";"Ivory Coast; Netherlands; Spain"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus nodosus";"Unwanted";"1";"1";"0";"1a";"2";"Netherlands"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus nobilis";"Priority";"0";"0";"0";"1a";"0";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus neumani";"Unwanted";"36";"6";"30";"1a";"0";"Netherlands; Norway; Poland; Portugal; Russia"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus nagysalloensis";"Wanted";"1";"1";"0";"1a";"0";"Netherlands"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus muelleri";"Unwanted";"4";"2";"2";"1a";"0";"Netherlands"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus mediorotundatus";"Unwanted";"8";"5";"3";"1a";"0";"Netherlands; Norway; Russia"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus maculator";"Unwanted";"9";"9";"0";"1a";"0";"Netherlands"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus leuckarti";"Unwanted";"9";"6";"3";"1a";"0";"Netherlands; Portugal"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus latus";"Unwanted";"4";"4";"0";"1a";"0";"Netherlands"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus knauthei";"Unwanted";"6";"6";"0";"1a";"0";"Netherlands"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus integrator";"Unwanted";"5";"5";"0";"1a";"0";"Netherlands"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus inexploratus";"Unwanted";"8";"6";"2";"1a";"0";"Netherlands; Norway"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus globator";"Unwanted";"33";"5";"28";"1a";"0";"Netherlands; North Macedonia; Norway; Poland; Portugal; Russia"
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus geminus";"Priority";"0";"0";"0";"1a";"0";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus furcillatus";"Priority";"0";"0";"0";"1a";"0";""
"Animalia";"Arthropoda";"Arachnida";"Trombidiformes";"Arrenuridae";"Arrenurus";"Arrenurus forpicatus";"Unwanted";"11";"6";"5";"1a";"0";"Netherlands; Norway; Russia"
